,x,y,files,labels,dblabels,scores,Outliers,Scores - Linear,Scores - Log,colors
kplr011241837-2011073133259_llc.fits,-0.42401211393819144,0.5133354546545719,./Plots/kplr011241837-2011073133259_llc.png,KIC 11241837,0,0.003211098807450842,#009999,#fbe723,#65cb5e,#1f77b4
kplr011821279-2011073133259_llc.fits,-0.28164660984397133,-1.439224841598204,./Plots/kplr011821279-2011073133259_llc.png,KIC 11821279,0,0.003996758775092721,#009999,#f8e621,#52c569,#1f77b4
kplr006342144-2011073133259_llc.fits,-0.4392400543964599,0.539660420678685,./Plots/kplr006342144-2011073133259_llc.png,KIC 6342144,0,0.0020023110167515026,#009999,#fde725,#95d840,#1f77b4
kplr010355036-2011073133259_llc.fits,-0.19924304647698782,3.6241221613004817,./Plots/kplr010355036-2011073133259_llc.png,KIC 10355036,0,0.0031080417196445225,#009999,#fbe723,#69cd5b,#1f77b4
kplr007757721-2011073133259_llc.fits,-0.20316259798842598,1.2645925251638834,./Plots/kplr007757721-2011073133259_llc.png,KIC 7757721,0,0.0012264679627607788,#009999,#fde725,#cae11f,#1f77b4
kplr011407975-2011073133259_llc.fits,-0.5041507291955472,1.3058588326190903,./Plots/kplr011407975-2011073133259_llc.png,KIC 11407975,0,0.0011315498349418738,#009999,#fde725,#d2e21b,#1f77b4
kplr010491544-2011073133259_llc.fits,1.3563550919441476,5.074202243876816,./Plots/kplr010491544-2011073133259_llc.png,KIC 10491544,-1,0.030487707392619755,#333366,#cae11f,#2a788e,#1f77b4
kplr005213864-2011073133259_llc.fits,-0.5086011017899472,0.7916314446295534,./Plots/kplr005213864-2011073133259_llc.png,KIC 5213864,0,0.0023251583661381835,#009999,#fbe723,#86d549,#1f77b4
kplr005008641-2011073133259_llc.fits,-0.624284418337235,2.1345514202734583,./Plots/kplr005008641-2011073133259_llc.png,KIC 5008641,0,0.001981865542679586,#009999,#fde725,#95d840,#1f77b4
kplr010091197-2011073133259_llc.fits,0.20552840167893643,-5.053841071194267,./Plots/kplr010091197-2011073133259_llc.png,KIC 10091197,0,0.006037115246957299,#009999,#f6e620,#34b679,#1f77b4
kplr011246161-2011073133259_llc.fits,-0.6791979016709337,3.08851870958128,./Plots/kplr011246161-2011073133259_llc.png,KIC 11246161,0,0.0019761093097004196,#009999,#fde725,#95d840,#1f77b4
kplr007974841-2011073133259_llc.fits,-0.0667479826550253,-4.636475013819966,./Plots/kplr007974841-2011073133259_llc.png,KIC 7974841,-1,0.031366877835080575,#333366,#c8e020,#2a778e,#1f77b4
kplr006041683-2011073133259_llc.fits,-0.31756671712907864,1.3962133864289454,./Plots/kplr006041683-2011073133259_llc.png,KIC 6041683,0,0.0015425384276696566,#009999,#fde725,#b0dd2f,#1f77b4
kplr006766334-2011073133259_llc.fits,-0.6839678206027705,1.3572683310582663,./Plots/kplr006766334-2011073133259_llc.png,KIC 6766334,0,0.002015405083148284,#009999,#fde725,#93d741,#1f77b4
kplr005015304-2011073133259_llc.fits,-0.27050246529034133,1.653150167536046,./Plots/kplr005015304-2011073133259_llc.png,KIC 5015304,0,0.0012670283941194488,#009999,#fde725,#c8e020,#1f77b4
kplr008737645-2011073133259_llc.fits,-0.4902351247565881,1.5597299089130945,./Plots/kplr008737645-2011073133259_llc.png,KIC 8737645,0,0.0010750796901852467,#009999,#fde725,#d8e219,#1f77b4
kplr009519469-2011073133259_llc.fits,-0.25632789034127834,2.6601672603821607,./Plots/kplr009519469-2011073133259_llc.png,KIC 9519469,0,0.00518862997757294,#009999,#f6e620,#3dbc74,#1f77b4
kplr005544497-2011073133259_llc.fits,-0.3833326055928391,2.4663903238579867,./Plots/kplr005544497-2011073133259_llc.png,KIC 5544497,0,0.0015117715574273275,#009999,#fde725,#b2dd2d,#1f77b4
